agency,district,category,total19,total20,total21,last12mos
LASD,Human Trafficking Bureau,Other or Part 2,175,0,0,0
LASD,Human Trafficking Task Force,Other or Part 2,401,596,707,363
LASD,Inmate Reception Centr,Other or Part 2,1245,1109,1154,945
LASD,Invest. Svcs-Jail Invest. Unit,Other or Part 2,6,15,20,9
LASD,Investigative Services,Other or Part 2,71,3,0,0
LASD,Lcmc,Other or Part 2,0,0,17,7
LASD,Los Angeles County Sheriff Dept,Other or Part 2,20,13,1,3
LASD,Major Crimes Bureau,Other or Part 2,145,59,44,92
LASD,Men's Central Jail,Other or Part 2,1129,1139,1460,1331
LASD,Metrolink Bureau,Other or Part 2,206,577,1418,789
LASD,Narcotics Bureau,Other or Part 2,713,647,859,1032
LASD,North County Correctional Fac.,Other or Part 2,1160,943,1082,1245
LASD,Oper Safe Streets Bur,Other or Part 2,25,11,17,17
LASD,Parks Bureau,Other or Part 2,72,60,47,79
LASD,Pdc - East,Other or Part 2,0,1,0,1
LASD,Pdc - North,Other or Part 2,174,169,353,189
LASD,Pdc - South,Other or Part 2,164,75,188,196
LASD,Special Enforcement (Seb),Other or Part 2,12,5,5,5
LASD,Special Victims Bureau,Other or Part 2,0,1,0,2
LASD,Transit Serv Bur,Other or Part 2,905,575,710,675
LASD,Trap,Other or Part 2,135,109,89,39
LASD,Ttcf,Other or Part 2,834,611,701,478
LASD,West,Other or Part 2,137,73,85,104
LASD,Admin,Robbery,1,1,0,0
LASD,Community College Bureau,Robbery,6,1,0,1
LASD,County Services Bur,Robbery,6,3,2,1
LASD,Court Services Transportation Bureau,Robbery,1,0,0,0
LASD,Crdf,Robbery,0,0,1,0
LASD,East,Robbery,1,0,0,0
LASD,Human Trafficking Task Force,Robbery,1,0,0,0
LASD,Inmate Reception Centr,Robbery,0,2,0,4
LASD,Men's Central Jail,Robbery,4,4,1,6
LASD,Metrolink Bureau,Robbery,0,2,2,1
LASD,North County Correctional Fac.,Robbery,1,4,2,1
LASD,Parks Bureau,Robbery,1,0,3,2
LASD,Pdc - North,Robbery,1,1,0,0
LASD,Transit Serv Bur,Robbery,72,90,74,116
LASD,Ttcf,Robbery,0,7,1,0
LASD,County Services Bur,Sexual Assault,0,1,1,1
LASD,Crdf,Sexual Assault,0,0,3,2
LASD,Human Trafficking Bureau,Sexual Assault,1,0,0,0
LASD,Human Trafficking Task Force,Sexual Assault,1,1,2,0
LASD,Los Angeles County Sheriff Dept,Sexual Assault,0,1,0,0
LASD,Men's Central Jail,Sexual Assault,1,7,5,4
LASD,Metrolink Bureau,Sexual Assault,0,0,1,0
LASD,North County Correctional Fac.,Sexual Assault,1,0,0,0
LASD,Parks Bureau,Sexual Assault,0,0,1,2
LASD,Pdc - North,Sexual Assault,0,0,0,2
LASD,Transit Serv Bur,Sexual Assault,4,2,3,0
LASD,Ttcf,Sexual Assault,2,1,2,0
LASD,Community College Bureau,Vehicle Theft,15,14,14,22
LASD,County Services Bur,Vehicle Theft,14,11,18,31
LASD,Fraud & Cyber Crimes Bureau,Vehicle Theft,2,1,2,1
LASD,Major Crimes Bureau,Vehicle Theft,2,1,0,1
LASD,Narcotics Bureau,Vehicle Theft,0,1,0,2
LASD,Parks Bureau,Vehicle Theft,2,0,4,2
LASD,Pdc - South,Vehicle Theft,0,0,2,1
LASD,Transit Serv Bur,Vehicle Theft,18,16,15,17
LASD,Trap,Vehicle Theft,168,83,23,5
