place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Pomona,2406,2579,3044,2591,2686,2559,2640,2516,2764,2529,3015,3259,28.9,35.5,2148.3
Redondo Beach,1238,1208,1223,1146,1054,1244,1154,1042,1071,992,915,1068,7.7,-13.7,1491.6
San Fernando,213,270,220,258,248,263,240,184,162,112,117,178,58.9,-16.4,744.8
San Gabriel,342,338,346,493,343,419,374,407,453,468,355,488,4.3,42.7,1235.4
San Marino,153,129,111,140,136,132,148,126,118,126,166,139,10.3,-9.2,1112
Santa Monica,2541,2300,2634,2806,2314,2953,3180,3462,3835,3143,2530,2493,-20.7,-1.9,2680.6
Sierra Madre,126,95,76,65,62,59,59,61,59,46,62,84,82.6,-33.3,743.4
Signal Hill,275,312,362,379,373,592,640,521,471,491,502,451,-8.1,64,3822
South Gate,1295,1294,1217,1379,1441,1653,1929,1691,1376,1663,1762,1592,-4.3,22.9,1719.2
South Pasadena,262,281,277,347,328,536,447,315,360,434,430,349,-19.6,33.2,1297.4
Torrance,2008,1957,1823,1833,1784,2024,2326,2213,1951,2161,2060,2321,7.4,15.6,1578.9
Vernon,191,183,199,187,192,171,207,229,195,272,466,352,29.4,84.3,NA
West Covina,1854,2212,2135,2254,1953,2095,1794,1821,1735,1660,1505,1449,-12.7,-21.8,1325.7
Santa Fe Springs,842,833,855,830,860,877,836,688,651,654,635,861,31.7,2.3,4461.1
Whittier,1734,1779,1758,1675,1601,1797,1933,1774,1527,1278,1065,1201,-6,-30.7,1375.7
