"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
20071681,"10/14/2022 08:00:00 AM","11/05/2022","FRAUD AND NSF CHECKS","117","IDENTITY THEFT (GOODS/SERVICES/CREDIT)","25400 HUXLEY, STEVENSON RANCH, CA","25400 HUXLEY","STEVENSON RANCH",,"922-15718-0664","0664","15718","NO","CA0190006","SANTA CLARITA VALLEY",-118.577,34.382,2
20069124,"11/02/2022 07:03:00 PM","11/02/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","165TH ST AND HAWTHORNE BLVD, LAWNDALE, CA 90260","165TH ST AND HAWTHORNE BLVD","LAWNDALE","90260","922-09314-0333","0333","09314","NO","CA0190003","SOUTH LOS ANGELES",-118.352,33.88,2
20069212,"11/02/2022 07:54:00 PM","11/02/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","147TH ST AND HAWTHORNE BLVD, HAWTHORNE, CA","147TH ST AND HAWTHORNE BLVD","HAWTHORNE",,"922-09319-0331","0331","09319","NO","CA0190003","SOUTH LOS ANGELES",-118.352,33.898,2
20069214,"11/02/2022 08:43:48 PM","11/02/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","161ST ST AND SOMBRA AVE, LAWNDALE, CA","161ST ST AND SOMBRA AVE","LAWNDALE",,"922-09320-0332","0332","09320","NO","CA0190003","SOUTH LOS ANGELES",-118.35,33.884,2
20069276,"11/02/2022 10:33:38 PM","11/02/2022","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","2100 N LONG BEACH BLVD, COMPTON, CA","2100 N LONG BEACH BLVD","COMPTON",,"922-14288-2824","2824","14288","NO","CA0190042","COMPTON",-118.207,33.91,1
20086407,"11/23/2022 04:10:00 PM","11/23/2022","NARCOTICS","185","Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)","NEWHALL AVE AND SIERRA HWY, NEWHALL, CA","NEWHALL AVE AND SIERRA HWY","NEWHALL",,"922-16548-0627","0627","16548","NO","CA0190006","SANTA CLARITA VALLEY",-118.506,34.365,2
20085703,"11/09/2022 04:52:30 PM","11/22/2022","BURGLARY","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","24300 LA MASINA CT, CALABASAS, CA 91302","24300 LA MASINA CT","CALABASAS","91302","922-06478-2246","2246","06478","NO","CA0190022","MALIBU/LOST HILLS",-118.655,34.147,1
20084874,"11/20/2022 10:00:00 AM","11/21/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","15500 HAYTER AVE, PARAMOUNT, CA 90723","15500 HAYTER AVE","PARAMOUNT","90723","922-22989-1369","1369","22989","NO","CA0190013","LAKEWOOD",-118.146,33.892,1
20086490,"11/23/2022 05:47:00 PM","11/23/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","24000 NEWHALL AVE, NEWHALL, CA","24000 NEWHALL AVE","NEWHALL",,"922-16555-0627","0627","16555","NO","CA0190006","SANTA CLARITA VALLEY",-118.522,34.375,2
20068783,"11/02/2022 01:35:00 PM","11/02/2022","MISDEMEANORS MISCELLANEOUS","399","MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors","4600 WHITTIER BLVD, LOS ANGELES, CA 90022","4600 WHITTIER BLVD","LOS ANGELES","90022","922-16458-0293","0293","16458","NO","CA0190002","EAST LOS ANGELES",-118.167,34.022,2
20071193,"11/04/2022 09:46:00 PM","11/04/2022","VEHICLE / BOATING LAWS","255","VEHICLE AND BOATING LAWS: Misdemeanor","SAN GABRIEL BLVD AND ROSEGLEN AVE, ROSEMEAD, CA 91770","SAN GABRIEL BLVD AND ROSEGLEN AVE","ROSEMEAD","91770","922-12602-0535","0535","12602","NO","CA0190005","TEMPLE",-118.084,34.041,2
